COCKFOSTERS STORIES,HELEN SIMPSON,,GENERAL FICTION,10/14/17,,,THE MISMEASURE OF MAN,,,
HOW IT FEELS TO FLOAT,HELENA FOX,,GENERAL FICTION,9/14/19,,,WORLDS OF DIFFERENCE,,,
UNDER THE FEET OF JESUS,HELENA MARIA VIRAMONTES,,GENERAL FICTION,10/31/15,9/17/16,,THE PETS SPEAK,,,
DEMIAN,HERMAN HESSE,,GENERAL FICTION,10/14/17,2/13/19,,TRIAL JUSTICE,,,
"BILLY BUDD, SAILOR AND OTHER STORIES",HERMAN MELVILLE,,GENERAL FICTION,4/3/16,,,PLACE: A SHORT INTRODUCTION,,,
SIDDHARTHA: AN INDIAN TALE,HERMANN HESSE,,GENERAL FICTION,10/14/17,3/30/19,,"TV'S GREATEST GAME SHOWS: TELEVISION'S FAVORITE GAME SHOWS FROM THE 50S, 60S, & MORE!",,,
"LITTLE LADY, BIG APPLE",HESTER BROWNE,,GENERAL FICTION,10/14/17,12/2/17,,THE HUMAN SIDE OF ANIMALS,,,
APRIL MORNING,HOWARD FAST,,GENERAL FICTION,2/10/18,2/10/18,,ECOLOGY AND AGRICULTURAL SETTLEMENTS: AN ETHNOGRAPHIC AND ARCHAEOLOGICAL PERSPECTIVE,,,
ATONEMENT,IAN MCEWAN,,GENERAL FICTION,3/31/17,4/22/17,,LIFE MAGAZINE ,,,
ARCADIA,IAN PEARS,,GENERAL FICTION,10/14/17,10/14/17,,MAMA'S GIRL,,,
SUITE FRANCAISE,IRENE NEMIROVSKY,,GENERAL FICTION,10/31/15,2/13/16,,THE WAY OF THE HUMMINGBIRD,,,
FRANNY AND ZOOEY,J. D. SALINGER,,GENERAL FICTION,4/22/17,4/22/17,,THE WHITE MAN'S BURDEN,,,
ON THE ROAD,JACK KEROUAC,,GENERAL FICTION,10/14/17,3/30/19,,THE PERFECTION OF YOGA (KRISHNA),,,
ON THE ROAD,JACK KEROUAC,,GENERAL FICTION,4/3/16,3/4/17,,EXECUTIVE YOGA,,,
DON'T BET ON THE PRINCE,JACK ZIPES,,GENERAL FICTION,2/13/16,9/17/16,,GETTING IN SHAPE,,,
A SMALL PLACE,JAMAICA KINCAID,,GENERAL FICTION,10/31/15,2/10/18,,THINNER THIS YEAR,,,
A DEATH IN THE FAMILY,JAMES AGEE,,GENERAL FICTION,2/23/19,,,MS LIVING SYMPTOM FREE THE TRUE STORY OF AN MS PATIENT,,,
ALNILAM,JAMES DICKEY,,GENERAL FICTION,12/7/19,,,PLANNING FOR WELLNESS,,,
HEALING FICTION,JAMES HILLMAN,,GENERAL FICTION,4/3/16,9/17/16,,THE NEW YOGA EXERCISE BOOK,,,
BILL WARRINGTON'S LAST CHANCE,JAMES KING,,GENERAL FICTION,12/7/19,,,THE WELLNESS BOOK: THE COMPREHENSIVE GUIDE TO MAINTAINING HEALTH AND TREATING STRESS-RELATED ILLNESS,,,
THE GOOD LORD BIRD,JAMES MCBRIDE,,GENERAL FICTION,2/13/16,11/1/16,,YOGA AND YOU,,,
MIRACLE ON THE 17TH GREEN,"JAMES PATTERSON, PETER DEJONGE",,GENERAL FICTION,12/7/19,,,"YOUGA, YOUTH, AND REINCARNATION",,,
A MAP OF THE WORLD,JANE HAMILTON,,GENERAL FICTION,12/7/19,1/25/20,,CUTS: FITNESS FOR MEN: THE ULTIMATE 30-MINUTE WORKOUT,,,
A THOUSAND ACRES,JANE SMILEY,,GENERAL FICTION,2/13/16,2/13/16,,BODY CONTROL,,,
LILLI DE JONG,JANET BENTON,,GENERAL FICTION,10/14/17,,,THE NEW AEROBICS,,,
THE PALE SURFACE OF THINGS,JANEY BENNETT,,GENERAL FICTION,10/31/15,2/13/16,,TOTAL FITNESS IN 30 MINUTES,,,
THE PALE SURFACE OF THINGS,JANEY BENNETT,,GENERAL FICTION,10/31/15,4/22/17,,THE YOGA OF KNOWLEDGE,,,
BAD SEEDS,JASSY MACKENZIE,,GENERAL FICTION,10/14/17,10/14/17,,YOGA BASICS: THE ESSENTIAL BEGINNER'S GUIDE TO YOGA FOR A LIFETIME OF HEALTH AND FITNESS,,,
GROWING UP BLACK,JAY DAVID,,GENERAL FICTION,12/11/14,9/19/15,,PROVEN HEALTH TIPS ENCYCLOPEDIA,,,
MACHINE DREAMS,JAYNE ANNE PHILLIPS,,GENERAL FICTION,11/9/16,,,ACSM FITNESS BOOK; A PROVEN STEP-BY-STEP PROGRAM,,,
VOYAGE IN THE DARK,JEAN RYS,,GENERAL FICTION,2/10/18,1/25/20,,GET WELL AND STAY WELL: NUTRITIONAL TIPS TO BOOST YOUR HEALTH,,,
THE DELANEY WOMAN,JEANETTE BAKER,,GENERAL FICTION,10/31/15,12/6/15,,THE AMERICAN EXPERIENCE,,,
PRETEND I'M DEAD,JEN BEAGIN,,GENERAL FICTION,9/14/19,,,YOUR BRAIN AND BODY ANSWER BOOK,,,
VACUUM IN THE DARK,JEN BEAGIN,,GENERAL FICTION,3/30/19,,,ZUMBA FITNESS: TOTAL-BODY TRANSFORMATION,,,
A VISIT FROM THE GOON SQUAD,JENNIFER EGAN,,GENERAL FICTION,4/21/18,12/8/18,,YOGA FOR WOMEN,,,
THE INVITED,JENNIFER MCMAHON,,GENERAL FICTION,12/7/19,,,INTENSIVE ABS TRAINING,,,
THE INVITED,JENNIFER MCMAHON,,GENERAL FICTION,12/7/19,12/7/19,,FUNDAMENTALS OF YOGA,,,
THE INVITED,JENNIFER MCMAHON,,GENERAL FICTION,9/14/19,9/14/19,,WELLNESS: SMALL CHANGES YOU CAN USE TO MAKE A BIG DIFFERENCE,,,
CERTAIN GIRLS,JENNIFER WEINER,,GENERAL FICTION,12/7/19,,,YOGA: 28 DAY EXERCISE PLAN,,,
LITTLE EARTHQUAKES,JENNIFER WEINER,,GENERAL FICTION,12/7/19,,,YOGA: FOR TOTAL FITNESS,,,
OFTEN I AM HAPPY,JENS CHRISTIAN GRONDAHL,,GENERAL FICTION,9/9/17,8/24/19,,YOGA MALA: THE SEMINAL TREATISE AND GUIDE FROM THE LIVING MASTER OF ASHTANGA YOGA,,,
SALVAGE THE BONES,JESMYN WARD,,GENERAL FICTION,11/9/16,3/4/17,,POWERS PILATES,,,
ONE THOUSAND WHITE WOMEN: THE JOURNALS OF MAY DODD,JIM FERGUS,,GENERAL FICTION,4/3/16,,,"THE MANDALA WORKBOOK: A CREATIVE GUIDE FOR SELF-EXPLORATION, BALANCE, AND WELL-BEING",,,
BLOOD ON SNOW,JO NESBO,,GENERAL FICTION,10/14/17,10/14/17,,LECTURES ON YOGA: PRACTICAL LESSONS ON YOGA,,,
MIDNIGHT SUN,JO NESBO,,GENERAL FICTION,10/14/17,2/10/18,,"THE CHINA STUDY: STARTLING IMPLICATIONS FOR DIET, WEIGHT LOSS, AND LONG-TERM HEALTH",,,
IMPROVEMENT,JOAN SILBER,,GENERAL FICTION,2/10/18,9/14/19,,YOGA,,,
VOYAGERS AT SEA WITH STRANGERS,JOAN SKOGAN,,GENERAL FICTION,10/31/15,12/6/15,,YOGA FOR THE MIND,,,
DIFFERENT CLASS,JOANNE HARRIS,,GENERAL FICTION,10/14/17,12/2/17,,THUS SPOKE ZARATHUSTRA- A BOOK FOR ALL AND NONE,,,
KEEPING FAITH,JODI PICOULT,,GENERAL FICTION,10/14/17,3/30/19,,THE LIMITS OF HUMANITARIAN INTERVENTION: GENOCIDE IN RWANDA,,,
MY SISTER'S KEEPER,JODI PICOULT,,GENERAL FICTION,10/14/17,10/14/17,,THE FEDERALIST PAPERS,,,
MRS. OSMOND,JOHN BANVILLE,,GENERAL FICTION,2/10/18,2/10/18,,ON THE NATURE OF PREJUDICE,,,
"SOME PEOPLE, PLACES, & THINGS THAT WILL NOT APPEAR IN MY NEXT NOVEL",JOHN CHEEVER,,GENERAL FICTION,4/3/16,2/4/17,,NO ONE MAN SHOULD HAVE ALL THAT POWER,,,
"LITTLE, BIG",JOHN CROWLEY,,GENERAL FICTION,9/14/19,,,BLACK FAMILIES AND THE STRUGGLE FOR SURVIVAL: TEACHING OUR CHILDREN TO WALK TALL,,,
"LITTLE, BIG",JOHN CROWLEY,,GENERAL FICTION,9/14/19,12/7/19,,CLIMBING JACOB'S LADDER,,,
THE GARGOYLE HUNTERS,JOHN FREEMAN GILL,,GENERAL FICTION,10/13/18,8/24/19,,GOD AND GOVERNMENT: THE SEPARATION OF CHURCH AND STATE,,,
THE GARGOYLE HUNTERS,JOHN FREEMAN GILL,,GENERAL FICTION,10/14/17,9/15/18,,THE STREET,,,
LOOKING FOR ALASKA,JOHN GREEN,,GENERAL FICTION,11/9/16,,,FOR THE TIME BEING,,,
THE FAULT IN OUR STARS,JOHN GREEN,,GENERAL FICTION,4/3/16,11/1/16,,CROSSING CULTURES: READING FOR COMPOSITION,,,
CALICO JOE,JOHN GRISHAM,,GENERAL FICTION,12/7/19,,,FOR THOSE WHO COME AFTER,,,
PLAYING FOR PIZZA,JOHN GRISHAM,,GENERAL FICTION,10/14/17,4/21/18,,THE NEW NEGRO: VOICES OF THE HARLEM RENAISSANCE,,,
THEODORE BOONE: KID LAWYER,JOHN GRISHAM,,GENERAL FICTION,2/10/18,4/21/18,,A HARD ROAD TO GLORY: THE AFRICAN AMERICAN ATHLETE IN BASEBALL,,,
SETTING FREE THE BEARS,JOHN IRVING,,GENERAL FICTION,4/3/16,8/24/19,,STATEMENTS,,,
THE CIDER HOUSE RULES,JOHN IRVING,,GENERAL FICTION,10/31/15,4/20/19,,COAL: A HUMAN HISTORY,,,
THE CIDER HOUSE RULES,JOHN IRVING,,GENERAL FICTION,10/31/19,,,"AUTOBIOGRAPHICAL INSCRIPTIONS - FORM, PERSONHOOD, AND THE AMERICAN WOMAN WRITER OF COLOR",,,
THE CIDER HOUSE RULES,JOHN IRVING,,GENERAL FICTION,11/9/16,3/4/17,,THE GUNS OF AUGUST,,,
THE FOURTH HAND,JOHN IRVING,,GENERAL FICTION,12/7/19,,,RADIO FREE VERMONT: A FABLE OF RESISTANCE,,,
A MONTH OF SUNDAYS,JOHN UPDIKE,,GENERAL FICTION,12/7/19,,,WHO'S LOOKING OUT FOR YOU?,,,
THE MUSIC SCHOOL,JOHN UPDIKE,,GENERAL FICTION,4/22/17,2/10/18,,DUH! THE STUPID HISTORY OF THE HUMAN RACE,,,
MONSIEUR MEDIOCRE,JOHN VON SOTHEN,,GENERAL FICTION,9/14/19,,,THE IMPEACHERS,,,
A GAMBLER'S ANATOMY,JONATHAN LETHEM,,GENERAL FICTION,10/14/17,4/21/18,,CIVILIZATION,,,
GRANTA: NEW WORLD,JONATHAN RABAN,,GENERAL FICTION,10/31/15,8/24/19,,PREHISTORIC TIMES,,,
THE REPUBLIC,JOOST DE VRIES,,GENERAL FICTION,9/14/19,,,A STILLNESS AT APPOMATTOX,,,
LABYRINTHS,JORGE LUIS BORGES,,GENERAL FICTION,12/2/17,10/13/18,,THE SONGLINES,,,
LORD JIM,JOSEPH CONRAD,,GENERAL FICTION,10/13/18,,,NEITHER BLACK NOR WHITE,,,
DEFECTORS,JOSEPH KANON,,GENERAL FICTION,10/14/17,12/2/17,,RITUALS OF MARGINALITY,,,
DRAGON AT THE EDGE OF A FLAT WORLD: PORTRAITS AND REVELATIONS,JOSEPH KECKLER,,GENERAL FICTION,2/10/18,4/21/18,,FIN AND LADY,,,
THE RIVERSIDE READER,"JOSEPH TRIMMER, MAXINE HAIRSTON",,GENERAL FICTION,3/4/17,4/22/17,,AN ECONOMIC INTERPRETATION OF THE CONSTITUTION OF THE UNITED STATES,,,
MOVING KINGS,JOSHUA COHEN,,GENERAL FICTION,10/14/17,10/13/18,,MANCHILD IN THE PROMISED LAND,,,
ECHO DETAINED,JOSHUA DANIEL COCHRAN,,GENERAL FICTION,4/23/16,9/17/16,,WE ARE NOT YOU: FIRST NATIONS & CANADIAN MODERNITY,,,
REVOLUTIONARIES,JOSHUA FURST,,GENERAL FICTION,9/14/19,,,THE AMERICAN PRESIDENCY,,,
REVOLUTIONARIES,JOSHUA FURST,,GENERAL FICTION,9/14/19,9/14/19,,INDIANS OF THE NORTHEAST,,,
ORDINARY PEOPLE,JUDITH GUEST,,GENERAL FICTION,10/31/15,10/14/17,,"THE WESTERN ABENAKIS OF VERMONT, 1600-1800: WAR, MIGRATION, AND THE SURVIVAL OF AN INDIAN PEOPLE",,,
A TANGLED WEB,JUDITH MICHAEL,,GENERAL FICTION,12/2/17,12/2/17,,"PASSION & CUNNING: ESSAYS ON NATIONALISM, TERROSIM & REVOLUTION",,,
DEENIE,JUDY BLUME,,GENERAL FICTION,4/3/16,4/20/19,,YES WE (STILL) CAN,,,
SUMMER SISTERS,JUDY BLUME,,GENERAL FICTION,10/14/17,4/20/19,,"HUMAN ADAPTIVE STRATEGIES: ECOLOGY, CULTURE, AND POLITICS",,,
HORSEPLAY,JUDY REENE SINGER,,GENERAL FICTION,12/7/19,,,ZHU XI'S READING OF THE ANALECTS,,,
HORSEPLAY,JUDY REENE SINGER,,GENERAL FICTION,12/7/19,12/7/19,,THE GUARDED GATE,,,
A BEAUTIFUL YOUNG WOMAN,JULIAN LOPEZ,,GENERAL FICTION,10/31/19,,,PEOPLES AND CULTURES OF NATIVE SOUTH AMERICA,,,
A BEAUTIFUL YOUNG WOMAN,JULIAN LOPEZ,,GENERAL FICTION,2/10/18,3/30/19,,FRANTZ FANON,,,
NECTAR IN A SIEVE,KAMALA MARKANDAYA,,GENERAL FICTION,2/13/16,9/17/16,,THE CHILDREN'S BLIZZARD,,,
GRUMBLES,KAREN FARIS,,GENERAL FICTION,12/7/19,,,THE JOHNSTOWN FLOOD,,,
COMPANY OF LIARS,KAREN MAITLAND,,GENERAL FICTION,4/3/16,9/17/16,,"FORKED TONGUES: SPEECH, WRITING & REPRESENTATION IN NORTH AMERICAN INDIAN TEXTS",,,
THE IVY CHRONICLES,KAREN QUINN,,GENERAL FICTION,12/7/19,,,AMERICA'S WAR OF INDEPENDENCE,,,
A PICKPOCKETS TALE,KAREN SCHWABACH,,GENERAL FICTION,10/13/18,4/20/19,,SIGNING THEIR RIGHTS AWAY: UNITED STATES CONSTITUTION,,,
BETRAYAL,KARIN ALVTEGEN,,GENERAL FICTION,10/31/19,,,SIGNING THEIR LIVES AWAY: DECLARATION OF INDEPENDENCE,,,
MISS YOU,KATE EBERLEN,,GENERAL FICTION,9/9/17,4/21/18,,A LITTLE ANTHROPOLOGY,,,
THE FRIDAY NIGHT KNITTING CLUB,KATE JACOBS,,GENERAL FICTION,10/13/18,,,A PIRATE OF EXQUISITE MIND,,,
THE FRIDAY NIGHT KNITTING CLUB,KATE JACOBS,,GENERAL FICTION,10/14/17,2/13/19,,THE ZOOKEEPER'S WIFE,,,
GLORY OVER EVERYTHING,KATHLEEN GRISSOM,,GENERAL FICTION,9/9/17,12/8/18,,THREE EMPIRES ON THE NILE,,,
AUGUSTOWN,KEI MILLER,,GENERAL FICTION,10/14/17,12/8/18,,AMERICA: WHAT WENT WRONG?,,,
LET DOWN WITH LIONS,KEN FOLLET,,GENERAL FICTION,4/3/16,2/4/17,,THE LONG ISLAND INDIANS AND THEIR NEW ENGLAND ANCESTORS,,,
THE KITE RUNNER,KHALED HOSSEINI,,GENERAL FICTION,11/9/19,11/9/19,,A FIELD GUIDE TO AMERICA'S HISTORY,,,
THE WOMAN IN THE DUNES,KOBO ABE,,GENERAL FICTION,10/31/15,12/6/15,,THE CASE AGAINST CONGRESS,,,
HOME AGAIN,KRISTIN HANNAH,,GENERAL FICTION,10/31/15,,,POWER IN ICA: THE STRUCTURAL HISTORY OF A PERUVIAN COMMUNITY,,,
BLOODY JACK,L. A. MEYER,,GENERAL FICTION,3/4/17,3/4/17,,THE NEGRO FAMILY IN THE UNITED STATES - REVISED AND ABRIDGED EDITION,,,
THE OTHER AMERICANS,LAILA LALAMI,,GENERAL FICTION,2/23/19,8/24/19,,TWO CHEERS FOR DEMOCRACY,,,
THE STREET OF THE SUN,LANCE HORNER,,GENERAL FICTION,4/3/16,4/22/17,,BULFINCH'S MYTHOLOGY,,,
CHASING HARRY WINSTON,LAUREN WEISBERGER,,GENERAL FICTION,12/7/19,,,"AMERICAN SLAVERY, AMERICAN FREEDOM",,,
THE DEVIL WEARS PRADA,LAUREN WEISBERGER,,GENERAL FICTION,11/9/16,,,THE PUBLO INDIANS OF NORTH AMERICA,,,
A FAR-OFF PLACE,LAURENS VAN DER POST,,GENERAL FICTION,4/3/16,3/30/19,,A SHORT HISTORY OF THE INDIANS OF THE UNITED STATES,,,
A LIKE THE WIND,LAURENS VAN DER POST,,GENERAL FICTION,10/13/18,2/13/19,,ORIENTALISM,,,
GAIA AND GIRLS WAY OF WATER,LEE WELLES,,GENERAL FICTION,10/31/15,12/6/15,,CONSILIENCE: THE UNITY OF KNOWLEDGE,,,
"ELSEWHERE, HOME",LEILA ABOULELA,,GENERAL FICTION,3/30/19,,,TEN THOSAND SAINTS,,,
"LIVING, LOVING, AND LEARNING",LEO BUSCAGLIA,,GENERAL FICTION,10/31/15,12/6/15,,"RISING OUT OF HATRED, THE AWAKENING OF A FORMER WHITE NATIONALIST",,,
PROOF OF FOREVER,LEXA HILLYER,,GENERAL FICTION,4/22/17,9/14/19,,"I, RIGOBERTA MENCHU: AN INDIAN WOMAN IN GUATEMALA",,,
BURN,LINDA HOWARD,,GENERAL FICTION,10/31/15,12/6/15,,WITHIN THE PLANTATION HOUSEHOLD: WOMEN IN THE SOUTH,,,
A RECKONING,LINDA SPALDING,,GENERAL FICTION,9/15/18,9/14/19,,THE AGE OF CAPITAL 1848-1875,,,
THE MOST DANGEROUS PLACE ON EARTH,LINDSEY LEE JOHNSON,,GENERAL FICTION,10/14/17,10/13/18,,FAST FOOD NATION,,,
FITNESS JUNKIE,"LUCY SYKES, JO PIAZZA",,GENERAL FICTION,10/14/17,,,LAST WITNESSES REFLECTIONS ON THE WARTIME INTERNMENT OF JAPANESE AMERICANS,,,
WHERE EAGLES DARE,MACLEAN,,GENERAL FICTION,10/14/17,2/10/18,,DEVIL IN THE WHITE CITY,,,
SCARLET FEATHER,MAEVE BINCHY,,GENERAL FICTION,10/14/17,,,AMERICAN SOCIETY: HOW IT REALLY WORKS,,,
SCARLET FEATHER,MAEVE BINCHY,,GENERAL FICTION,10/31/19,,,"ROLL, JORDAN, ROLL: THE WORLD THE SLAVES MADE",,,
THE LEARNING CURVE,MANDY BERMAN,,GENERAL FICTION,9/14/19,,,THE WORLD THE SLAVES MADE,,,
THE EMPEROR OF THE AMAZON,MARCIO SOUZA,,GENERAL FICTION,4/3/16,3/30/19,,LONG DAY'S JOURNEY INTO NIGHT,,,
LIGHT,MARGARET ELPHINSTONE,,GENERAL FICTION,12/7/19,,,THE ZINACANTECOS OF MEXICO: A MODERN MAYA WAY OF LIFE,,,
"OKSANA, BEHAVE!",MARIA KUZNETSOVA,,GENERAL FICTION,10/31/19,,,NEGRO PROTEST THOUGHT IN THE TWENTIETH CENTURY,,,
"OKSANA, BEHAVE!",MARIA KUZNETSOVA,,GENERAL FICTION,9/14/19,9/14/19,,LASKER'S GREATEST CHESS GAMES,,,
SHADOW CATCHER,MARIANNE WIGGINS,,GENERAL FICTION,12/7/19,,,THE MEDIEVAL WORLD,,,
GILEAD,MARILYNNE ROBINSON,,GENERAL FICTION,11/9/19,11/9/19,,LAST LETTERS: THE PRISON CORRESPONDENCE,,,
THE FORTUNATE PILGRIM,MARIO PUZO,,GENERAL FICTION,4/20/19,8/24/19,,THE GESTALT APPROACH & EYE WITNESS TO THERAPY,,,
THE GODFATHER,MARIO PUZO,,GENERAL FICTION,9/15/18,9/15/18,,THE ANDEAN HERITAGE,,,
GIRL IN THE DARK,MARION PAUW,,GENERAL FICTION,10/14/17,10/14/17,,AMERICA: A NARRATIVE HISTORY,,,
BELONG TO ME,MARISA DE LOS SANTOS,,GENERAL FICTION,10/14/17,,,THE TRANSPORTATION REVOLUTION,,,
MARY COIN,MARISA SILVER,,GENERAL FICTION,12/7/19,,,THE SAMBIA,,,
THE CURIOUS INCIDENT OF THE DOG IN THE NIGHT-TIME,MARK HADDON,,GENERAL FICTION,4/21/18,9/15/18,,SLUMMING INDIA: A CHRONICLE OF SLUMS AND THEIR SAVOURS,,,
THE CURIOUS INCIDENT OF THE DOG IN THE NIGHT-TIME,MARK HADDON,,GENERAL FICTION,9/14/19,,,CONTROL: EXPOSING THE TRUTH ABOUT GUNS,,,
THE CURIOUS INCIDENT OF THE DOG IN THE NIGHT-TIME,MARK HADDON,,GENERAL FICTION,9/14/19,9/14/19,,GLENN BECK'S COMMON SENSE: THE CASE AGAINST AN OUT-OF-CONTROL GOVERNMENT,,,
WINTER'S TALE,MARK HELPRIN,,GENERAL FICTION,10/31/15,4/23/16,,THE MEN OF BREWSTER PLACE,,,
ANGER IS A GIFT,MARK OSHIRO,,GENERAL FICTION,9/15/18,12/7/19,,TITANIC,,,
THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,"MARY ANN SHAFFER, ANNIE BARROWS",,GENERAL FICTION,12/7/19,,,THE GREAT HANGOVER,,,
LIT,MARY KARR,,GENERAL FICTION,12/7/19,,,THE GAME OF CHESS,,,
ONE HOUSE OVER,MARY MONROE,,GENERAL FICTION,12/7/19,,,SIX MEDIEVAL MEN AND WOMEN,,,
GHOSTS OF ASCALON,"MATT FORBECK, JEFF GRUBB",,GENERAL FICTION,10/14/17,12/2/17,,ON DESPERATE GROUND,,,
BAD MONKEYS,MATT RUFF,,GENERAL FICTION,10/14/17,9/15/18,,SAVAGE WILDNERNESS,,,
HOW I LIVE NOW,MEG ROSOFF,,GENERAL FICTION,10/31/15,9/17/16,,PLURAL BUT EQUAL,,,
NAMES MY SISTERS CALL ME,MEGAN CRANE,,GENERAL FICTION,12/7/19,,,AMERICAN NEGRO SLAVE REVOLTS,,,
GOING DOWN RIVER ROAD,MEJA MWANGI,,GENERAL FICTION,10/13/18,12/8/18,,CULTURE SKETCHES,,,
THE ART OF CRASH LANDING,MELISSA DECARLO,,GENERAL FICTION,2/1/17,4/20/19,,MY SOUL IS RESTED: THE STORY OF THE CIVIL RIGHTS MOVEMENT IN THE DEEP SOUTH,,,
THE NANNY,MELISSA NATHAN,,GENERAL FICTION,12/7/19,,,HOW TO WIN IN THE CHESS OPENINGS,,,
FLOOD,MELISSA SCHOLES YOUNG,,GENERAL FICTION,10/14/17,10/13/18,,IDEAS ACROSS TIME -CLASSIC AND CONTEMPORARY READINGS FOR COMPOSITION,,,
STOLEN MOMENTS,MERLINE LOVELACE,,GENERAL FICTION,8/24/19,8/24/19,,WESTERN CIVILIZATION,,,
THE KEEPERS OF TRUTH,MICHAEL COLLINS,,GENERAL FICTION,11/9/16,9/15/18,,THE POLITICS OF AESTHETICS,,,
A YELLOW RAFT IN BLUE WATER,MICHAEL DORRIS,,GENERAL FICTION,12/7/19,,,FOLLOW THE RIVER,,,
CAT'S TABLE,MICHAEL ONDAATJE,,GENERAL FICTION,4/21/18,4/21/18,,THE FULL CATASTROPHE: TRAVELS AMONG THE NEW GREEK RUINS,,,
MY NAME IS RUSSELL FINK,MICHAEL SNYDER,,GENERAL FICTION,4/22/17,4/22/17,,BLOOD TIES: LIFE AND VIOLENCE IN RURAL MEXICO,,,
IN OUR STRANGE GARDENS,MICHEL QUINT,,GENERAL FICTION,12/7/19,,,JOHN QUINCY ADAMS - POLICYMAKER FOR THE UNION,,,
THE MARRIAGE PACT,MICHELLE RICHMOND,,GENERAL FICTION,10/14/17,12/8/18,,SOUTHERN ARIZONA FOLK ARTS,,,
THE TYPEWRITER'S TALE,MICHIEL HEYNS,,GENERAL FICTION,10/14/17,8/24/19,,FROM ABACUS TO ZEUS: A HANDBOOK OF ART HISTORY,,,
PACHINKO,MIN JIN LEE,,GENERAL FICTION,10/31/19,11/9/19,,LIES MY TEACHER TOLD ME: EVERYTHING YOUR AMERICAN HISTORY TEXTBOOK GOT WRONG,,,
FOR ONE MORE DAY,MITCH ALBOM,,GENERAL FICTION,10/31/15,2/13/16,,SAMPLING IN ARCHAEOLOGY,,,
THE FIVE PEOPLE YOU MEET IN HEAVEN,MITCH ALBOM,,GENERAL FICTION,4/3/16,11/1/16,,CLIFFS NOTES OF MYTHOLOGY,,,
TUESDAYS WITH MORRIE,MITCH ALBOM,,GENERAL FICTION,11/9/16,2/4/17,,SIX PSYCHOLOGICAL STUDIES,,,
ANYWHERE BUT HERE,MONA SIMPSON,,GENERAL FICTION,10/13/18,12/8/18,,THE SOCIAL CONTRACT,,,
ANYWHERE BUT HERE,MONA SIMPSON,,GENERAL FICTION,2/23/19,,,BLACK AND BLUE: INSIDE THE DIVIDE BETWEEN THE POLICE AND BLACK AMERICA,,,
SECRET LANGUAGE,MONICA WOOD,,GENERAL FICTION,4/3/16,,,"MANIFESTA: YOUNG WOMEN, FEMINISM, AND THE FUTURE",,,
BRENDAN,MORGAN LLYWELYN,,GENERAL FICTION,10/14/17,10/13/18,,IN THE ABSENCE OF THE SACRED,,,
BRENDAN,MORGAN LLYWELYN,,GENERAL FICTION,2/13/19,2/13/19,,THE ANCIENT EGYPTIANS,,,
HOUSE MADE OF DAWN,N. SCOTT MOMADAY,,GENERAL FICTION,10/31/15,12/6/15,,LONGBOURN,,,
THE GOLDEN LEGEND,NADEEM ASLAM,,GENERAL FICTION,10/14/17,8/24/19,,THE STATE OF BLACK AMERICA,,,
THE PICKUP,NADINE GORDIMER,,GENERAL FICTION,4/3/16,8/24/19,,AMERICA: A DUTCH HISTORIAN'S VISION FROM AFAR AND NEAR,,,
NANTUCKET,NAN ROSSIER,,GENERAL FICTION,10/14/17,1/25/20,,THE VIKINGS: THE BACKGROUND TO A FIERCE AND FASCINATING CIVILIZATION,,,
THE TAPESTRY,NANCY BILYEAU,,GENERAL FICTION,10/13/18,4/20/19,,"THE TRANSFORMATION OF AMERICAN SOCIETY, 1870-1890",,,
THE TAPESTRY,NANCY BILYEAU,,GENERAL FICTION,10/14/17,,,1919,,,
THE HORSE OF THE SCORPION,NANCY FARMER,,GENERAL FICTION,3/31/17,4/22/17,,FANON,,,
ANNE ON MY MIND,NANCY GARDEN,,GENERAL FICTION,10/31/15,2/13/16,,JOURNAL OF AFRICAN-AMERICAN MEN,,,
TUCK EVERLASTING,NATALIE BABBIT,,GENERAL FICTION,2/10/18,3/30/19,,DRYLONGSO: A SELF-PORTRAIT OF BLACK AMERICA,,,
KADDISH.COM,NATHAN ENGLANDER,,GENERAL FICTION,2/23/19,,,ALL ABOUT THE BEAT: WHY HIP-HOP CAN'T SAVE BLACK AMERICA,,,
THE RIVER BETWEEN,NGUGI WA THIONG'O,,GENERAL FICTION,10/13/18,8/24/19,,ON LIBERTY,,,
THE HEARTS OF MEN,NICKOLAS BUTLER,,GENERAL FICTION,10/14/17,10/14/17,,"LADIES AND GENTLEMEN, THE BRONX IS BURNING",,,
THE LION'S WHELP,NIGEL TRANTER,,GENERAL FICTION,10/31/15,11/1/16,,THE ALEPH AND OTHER STORIES,,,
CAROLINA MOON,NORA ROBERTS,,GENERAL FICTION,4/3/16,9/17/16,,AMERICAN CREATION,,,
DANCE UPON THE AIR,NORA ROBERTS,,GENERAL FICTION,11/9/19,,,AMERICAN SPHINX: THE CHARACTER OF THOMAS JEFFERSON,,,
FACE IN THE FIRE,NORA ROBERTS,,GENERAL FICTION,4/3/16,9/17/16,,THE QUARTET: ORCHESTRATING THE SECOND AMERICAN REVOLUTION,,,
HEAVEN AND EARTH,NORA ROBERTS,,GENERAL FICTION,4/3/16,9/17/16,,THE AGE OF THE UNTHINKABLE,,,
THE GIFT,NORA ROBERTS,,GENERAL FICTION,10/14/17,10/14/17,,BANNED IN IRELAND: CENSORSHIP & THE IRISH WRITER,,,
